Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);Я чувствую, что мы с коллегами делаем одно дело (Шкала);Я испытываю уважение к своим коллегам (Шкала);Я думаю, что есть коллеги, без которых компания могла бы легко обойтись (Шкала);У нас в компании есть своя культура и я чувствую себя её частью (Шкала);Мне важно мнение моих коллег о моей работе (не только моего руководителя) (Шкала);Я радуюсь, когда вижу людей из моей организации вне работы (Шкала);Я думаю, что моих коллег, в целом, легко мог заменить кто-то другой (Шкала);Другие люди говорят, что моя работа важна (Шкала);Я знаю, как моя работа влияет на мир, и мне нравится это влияние (Шкала);Мне говорят, что моя работа полезна (Шкала);Я думаю, что мир не станет хуже, если я буду плохо делать свою работу (Шкала);Я чувствую, что от моей работы много зависит (Шкала);Я думаю, что большая часть профессий важнее моей (Шкала);Я чувствую, что моя работа важна для общества (Шкала);Я хожу на выставки/конференции по теме моей работы в свободное время (Шкала);В свободное время я читаю профильную литературу (Шкала);Я делюсь интересными “трюками”, которые я придумал в своей работе (Шкала);Мои рабочие инструменты просты в обращении и не требуют развития навыков (Шкала);Я знаю, почему я использую для работы те, а не иные инструменты/техники/приёмы/программы (Шкала);Разные инструменты/техники/приёмы/программы, которые я использую в работе, не влияют на её эффективность, качество и скорость (Шкала);В моей работе применима пословица: “Хочешь сделать работу — сначала наточи инструменты” (хорошие средства труда важны в моей работе) (Шкала);Я чувствую, что без необходимости ходить на работу, я был бы в разы счастливее (Шкала);Я начинаю скучать по работе во время долгих праздников и отпуска (Шкала);Я чувствую сильное напряжение, если мне приходиться задерживаться после работы (Шкала);Я ложусь спать с приятным предвкушением завтрашних рабочих задач (Шкала);Я с радостью пользуюсь возможностью рассказать о том, что делаю на работе (Шкала);Я стараюсь не думать о работе в нерабочее время (Шкала);Друзья считают меня “фанатиком своего дела” (Шкала);Работа, которую я выполняю, оплачивается компанией справедливо (Шкала);Уровень моей заработной платы соответствует моим квалификации, знаниям, умениям и навыкам (Шкала);Моя заработная плата соответствует моим усилиям (Шкала);Размер моей заработной платы стимулирует меня к труду (Шкала);В нашей компании созданы благоприятные условия труда (Шкала);У меня есть все, что необходимо мне для работы (Шкала);Я могу рассказать о нашей организации как о хорошем месте работы с неплохими условиями труда (Шкала);Меня не устраивает организация труда в нашей организации (Шкала);Наш руководитель воодушевляет меня на работу с высокой отдачей (Шкала);Меня редко хвалят или благодарят за работу (Шкала);Мой непосредственный руководитель часто не понимает или не хочет понять меня (Шкала);У меня сложились хорошие отношения с людьми, с которыми я работаю (Шкала);Люди, с которыми я работаю, уважают меня (Шкала);Мне нравятся люди, с которыми я вместе работаю (Шкала);То, чем я занимаюсь на моей работе, меня интересует (Шкала);За последнее время я добился(ась) успехов на своей работе (Шкала);В работе меня прежде всего привлекает возможность узнавать что-то новое (Шкала);С каждым месяцем я ощущаю, как растут мои профессиональные знания (Шкала);Процесс работы доставляет мне удовольствие (Шкала);Специалист, который не может дать четкий ответ, возможно, не слишком много знает (Шкала);Хорошая работа – это та, на которой всегда ясно, что и как это нужно делать (Шкала);В долговременной перспективе добиться большего возможно, решая маленькие и простые проблемы, чем большие и сложные (Шкала);Привычное всегда предпочтительнее незнакомого (Шкала);Человек, который ведет ровную, размеренную жизнь (без особых сюрпризов и неожиданностей), на самом деле должен быть благодарен судьбе (Шкала);Я больше люблю вечеринки со знакомыми людьми, чем те, где большинство людей мне совершенно незнакомы (Шкала);Чем скорее мы придем к единым ценностям и идеалам, тем лучше (Шкала);Люди, которые подчинили свою жизнь расписанию, наверное, лишают себя большинства радостей жизни (Шкала);Интереснее заниматься сложной проблемой, чем решать простую (Шкала);Часто наиболее интересные и заводящие других люди – это те, кто не боится быть оригинальным и непохожим на других (Шкала);Люди, которые настаивают на ответе либо «да», либо «нет», просто не знают, насколько все на самом деле сложно (Шкала);Многие из наиболее важных решений основаны на неполной информации (Шкала);Хороший учитель – это тот, кто заставляет тебя размышлять о твоем взгляде на жизнь (Шкала);В основном моя жизнь близка к идеалу (Шкала);Обстоятельства моей жизни исключительно благоприятны (Шкала);Я полностью удовлетворен моей жизнью (Шкала);У меня есть в жизни то, что мне по настоящему нужно (Шкала);Если бы мне пришлось жить еще раз, я бы оставил все как есть (Шкала);Я понимаю смысл моей жизни (Шкала);В моей жизни есть четкое понимание цели (Шкала);У меня есть четкое понимание того, что наполняет мою жизнь смыслом (Шкала);Я уже нашел удовлетворяющую меня цель жизни (Шкала);У меня нет четкой цели в жизни (Шкала);Я считаю себя тревожным, легко расстраивающимся (Шкала);Я считаю себя спокойным, эмоционально стабильным (Шкала)
Женщина;46;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;0-1 года;"Маркетинг, реклама, PR;";До 50 человек;дизайнер;100;15 000 — 30 000;Да;Часто;Иногда;Скорее часто;Практически никогда;Скорее часто;Скорее редко;Иногда;Редко;Иногда;Редко;Иногда;Скорее редко;Редко;Скорее часто;Иногда;Иногда;Практически никогда;Иногда;Скорее часто;Практически никогда;Практически всегда;Скорее часто;Иногда;Часто;Иногда;Скорее часто;Скорее редко;Редко;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Категорически не согласен;Затрудняюсь ответить;Нечто среднее;Согласен;Нечто среднее;Скорее согласен;Согласен;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Нечто среднее
Мужчина;42;Москва;Высшее;10-15 лет;5-10 лет;"Обслуживание;";До 50 человек;Генеральный директор;0;0 — 15 000;Нет;Практически никогда;Практически никогда;Практически всегда;Практически никогда;Иногда;Практически никогда;Иногда;Практически никогда;Практически никогда;Иногда;Практически всегда;Практически никогда;Иногда;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Часто;Иногда;Часто;Иногда;Практически всегда;Практически никогда;Практически всегда;Практически никогда;Практически никогда;Редко;Практически никогда;Согласен;Не согласен;Согласен;Не согласен;Не согласен;Согласен;Где-то посередине;Не согласен;Не согласен;Согласен;Не согласен;Согласен;Согласен;Согласен;Не согласен;Где-то посередине;Не согласен;Не согласен;Не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Категорически не согласен;Затрудняюсь ответить;Не согласен;Не согласен;Нечто среднее;Нечто среднее;Скорее согласен;Не согласен;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее
Мужчина;49;Город с численностью жителей миллион и более человек;Высшее;20 + лет;5-10 лет;"Производство;";До 500 человек;инженер;70;30 000 — 60 000;Да;Иногда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Скорее редко;Скорее редко;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Скорее редко;Скорее редко;Иногда;Иногда;Иногда;Скорее редко;Иногда;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Скорее редко;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Не согласен;Согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Согласен;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее;Не согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Нечто среднее;Нечто среднее;Скорее согласен
Женщина;46;Город с численностью от 100 тысяч до 500 тысяч;Высшее;20 + лет;1-3 года;"Производство;";До 500 человек;секретарь;28000;30 000 — 60 000;Нет;Часто;Часто;Часто;Скорее часто;Часто;Часто;Иногда;Практически всегда;Иногда;Практически всегда;Практически никогда;Часто;Скорее редко;Часто;Практически никогда;Иногда;Редко;Скорее редко;Практически всегда;Иногда;Практически всегда;Иногда;Практически никогда;Редко;Скорее часто;Скорее редко;Практически всегда;Скорее редко;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Согласен;Согласен;Скорее согласен;Не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Согласен;Согласен;Согласен;Согласен;Нечто среднее;Согласен;Согласен;Согласен;Скорее согласен;Не согласен;Скорее не согласен;Согласен
Мужчина;36;Москва;Высшее;10-15 лет;5-10 лет;"Торговля;";До 1000 человек;руководитель;100;200 000 — 400 000;Затрудняюсь ответить;Практически всегда;Скорее часто;Иногда;Скорее часто;Часто;Скорее часто;Часто;Практически всегда;Скорее часто;Часто;Практически никогда;Часто;Часто;Скорее часто;Скорее часто;Часто;Скорее часто;Часто;Часто;Скорее часто;Практически всегда;Скорее часто;Скорее часто;Иногда;Практически всегда;Скорее часто;Иногда;Скорее редко;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен, чем не согласен;Абсолютно согласен;Согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Нечто среднее;Полностью не согласен;Скорее согласен;Согласен
Женщина;42;Город с численностью жителей миллион и более человек;Высшее;15-20 лет;1-3 года;"Торговля;";1000+ человек;Начальник;30000;30 000 — 60 000;Нет;Часто;Практически всегда;Иногда;Часто;Иногда;Часто;Часто;Часто;Часто;Часто;Практически никогда;Практически всегда;Иногда;Практически всегда;Иногда;Часто;Часто;Часто;Часто;Скорее редко;Редко;Иногда;Иногда;Иногда;Скорее редко;Часто;Скорее редко;Скорее редко;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее не согласен, чем согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Нечто среднее;Нечто среднее
Женщина;41;Город с численностью от 500 тысяч до 950 тысяч;Высшее;10-15 лет;1-3 года;"Юриспруденция;";До 50 человек;секретарь;75;30 000 — 60 000;Нет;Практически всегда;Часто;Редко;Иногда;Скорее часто;Скорее часто;Иногда;Иногда;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее часто;Скорее редко;Иногда;Иногда;Скорее часто;Скорее часто;Скорее часто;Часто;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен, чем согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Не согласен;Согласен;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Не согласен;Нечто среднее;Нечто среднее;Нечто среднее;Скорее согласен;Не согласен;Скорее согласен;Нечто среднее
Мужчина;53;Город с численностью менее 50 тысяч;Высшее;20 + лет;10-15 лет;"Обслуживание;";До 50 человек;специалист;50;30 000 — 60 000;Нет;Скорее редко;Скорее часто;Часто;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Скорее часто;Иногда;Скорее часто;Иногда;Редко;Редко;Иногда;Редко;Скорее часто;Скорее часто;Скорее редко;Скорее редко;Иногда;Иногда;Редко;Редко;Иногда;Иногда;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен, чем согласен;Согласен;Не согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Нечто среднее;Не согласен;Нечто среднее;Согласен
Женщина;37;Город с численностью жителей миллион и более человек;Высшее;15-20 лет;15-20 лет;"Продажи, закупки;";До 500 человек;Руководитель отдела;70;60 000 — 100 000;Нет;Часто;Часто;Скорее часто;Часто;Скорее редко;Скорее часто;Иногда;Скорее редко;Редко;Редко;Иногда;Часто;Часто;Скорее редко;Редко;Иногда;Часто;Редко;Практически всегда;Редко;Практически всегда;Иногда;Иногда;Редко;Иногда;Иногда;Часто;Иногда;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Согласен;Согласен;Согласен;Не согласен;Согласен;Скорее не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Согласен;Категорически не согласен;Не согласен;Скорее согласен, чем не согласен;Категорически не согласен;Абсолютно согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Нечто среднее;Полностью не согласен;Скорее согласен;Скорее согласен
Женщина;55;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;15-20 лет;IT;До 500 человек;QA инженер;100;60 000 — 100 000;Затрудняюсь ответить;Часто;Скорее часто;Часто;Скорее редко;Иногда;Скорее редко;Часто;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Скорее часто;Редко;Редко;Иногда;Редко;Скорее часто;Скорее часто;Иногда;Редко;Редко;Скорее часто;Редко;Иногда;Часто;Иногда;Скорее не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Согласен;Затрудняюсь ответить;Согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Не согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Нечто среднее;Полностью согласен;Не согласен
Женщина;33;Москва;Высшее;10-15 лет;3-5 лет;Рабочая специальность;До 500 человек;Рабочая;70;60 000 — 100 000;Да;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Иногда;Скорее часто;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Нечто среднее;Скорее согласен;Нечто среднее;Скорее согласен;Нечто среднее;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее не согласен;Нечто среднее;Согласен
Женщина;46;Город с численностью жителей миллион и более человек;Высшее;10-15 лет;1-3 года;гос предприятие;1000+ человек;специалист по кадрам;100;30 000 — 60 000;Затрудняюсь ответить;Редко;Скорее редко;Скорее часто;Редко;Скорее часто;Практически никогда;Часто;Иногда;Практически никогда;Скорее редко;Скорее часто;Редко;Скорее часто;Редко;Редко;Редко;Редко;Редко;Иногда;Скорее часто;Практически никогда;Практически всегда;Практически никогда;Практически всегда;Практически никогда;Скорее редко;Часто;Редко;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Не согласен;Согласен;Затрудняюсь ответить;Не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Не согласен;Скорее не согласен;Нечто среднее;Скорее согласен;Не согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Скорее не согласен;Согласен;Полностью согласен;Скорее не согласен
Мужчина;49;Москва;Среднее общее (11 классов);20 + лет;3-5 лет;пожарный;До 500 человек;пожарный;45000;30 000 — 60 000;Нет;Часто;Часто;Иногда;Скорее часто;Иногда;Скорее часто;Скорее редко;Скорее часто;Часто;Часто;Иногда;Часто;Скорее редко;Часто;Иногда;Редко;Иногда;Иногда;Иногда;Скорее часто;Иногда;Редко;Практически никогда;Иногда;Скорее редко;Иногда;Практически никогда;Иногда;Не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Согласен;Нечто среднее;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Полностью не согласен;Согласен
Женщина;39;Город с численностью от 100 тысяч до 500 тысяч;Высшее;15-20 лет;5-10 лет;"Образование;";До 50 человек;Учитель;100;30 000 — 60 000;Нет;Скорее часто;Часто;Практически никогда;Часто;Скорее часто;Редко;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Редко;Часто;Скорее часто;Практически никогда;Практически всегда;Иногда;Редко;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Часто;Скорее редко;Не согласен;Не согласен;Не согласен;Не согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Где-то посередине;Согласен;Согласен;Не согласен;Не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Нечто среднее;Нечто среднее;Нечто среднее;Скорее согласен;Скорее не согласен;Скорее согласен;Согласен;Согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее не согласен
Женщина;50;Город с численностью от 100 тысяч до 500 тысяч;Среднее общее (11 классов);20 + лет;10-15 лет;"Торговля;";До 50 человек;менеджер;25;30 000 — 60 000;Затрудняюсь ответить;Скорее часто;Часто;Часто;Часто;Скорее часто;Иногда;Скорее редко;Скорее редко;Скорее часто;Скорее часто;Скорее редко;Иногда;Скорее редко;Иногда;Скорее редко;Иногда;Скорее часто;Скорее редко;Иногда;Иногда;Скорее часто;Скорее редко;Иногда;Скорее редко;Скорее часто;Часто;Скорее редко;Иногда;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Согласен;Согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Затрудняюсь ответить;Согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Не согласен;Согласен;Согласен;Не согласен;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Нечто среднее;Не согласен;Полностью согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Согласен
Мужчина;39;Город с численностью от 500 тысяч до 950 тысяч;Высшее;15-20 лет;5-10 лет;"Производство;";До 500 человек;завскладом;50;100 000 — 150 000;Нет;Иногда;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Скорее редко;Иногда;Скорее редко;Иногда;Редко;Скорее редко;Практически никогда;Часто;Иногда;Иногда;Скорее часто;Иногда;Иногда;Скорее редко;Часто;Часто;Скорее часто;Практически никогда;Практически никогда;Скорее редко;Скорее редко;Скорее редко;Скорее согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Скорее не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Абсолютно согласен;Согласен;Не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Полностью не согласен;Скорее не согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Согласен;Нечто среднее;Согласен
Женщина;47;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;20 + лет;"Красота и здоровье;";До 1000 человек;врач;50;30 000 — 60 000;Нет;Скорее часто;Скорее часто;Редко;Скорее редко;Редко;Скорее редко;Редко;Иногда;Скорее часто;Иногда;Практически никогда;Скорее часто;Скорее редко;Скорее часто;Редко;Иногда;Скорее редко;Редко;Практически всегда;Редко;Иногда;Скорее часто;Практически никогда;Иногда;Практически никогда;Скорее редко;Скорее часто;Иногда;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Не согласен;Не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Затрудняюсь ответить;Согласен;Нечто среднее;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Нечто среднее;Не согласен;Согласен;Нечто среднее
Мужчина;49;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;0-1 года;ит;До 500 человек;электрик;100;60 000 — 100 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Скорее часто;Иногда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Редко;Практически всегда;Редко;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Скорее часто;Скорее часто;Согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Где-то посередине;Не согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Абсолютно согласен;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Нечто среднее;Согласен;Скорее согласен;Нечто среднее;Нечто среднее;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью не согласен;Полностью не согласен;Полностью согласен
